"relative_path","category","metric","timescale_kyr","file_type","size_bytes","sha256","description"
"figures/Fig_C1_sampling_density_sensitivity_100kyr.svg","sampling_density_figure","","100","svg","4205211","7a907f95f5653bc0e1d23481f1cb7eb62d60c4faa57186956950891be189f6e1","Appendix C sampling-density sensitivity figure"
"figures/Fig_C2_sampling_density_sensitivity_1000kyr.svg","sampling_density_figure","","1000","svg","4084811","bef2b845ceb1d07f5b512eb35220a01934aa41406de44116a44d3e8def89424e","Appendix C sampling-density sensitivity figure"
"metrics/O_RandomSubsampling_IBR_1000kyr_100kyr_metrics.csv","sampling_density_metrics","IBR","1000","csv","10709","24fb18e28f25aefdba99a196fb58813fe16948eb939ba324c653711c2cc647ee","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IBR_1000kyr_20kyr_metrics.csv","sampling_density_metrics","IBR","1000","csv","10595","2a0321924c3c1c95346702d274d460be04c04b42a9b4d6de54c69a6b0f947a7b","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IBR_1000kyr_50kyr_metrics.csv","sampling_density_metrics","IBR","1000","csv","10542","b6ff23241b6ed90d642683e206a6b41b3cf7e2082fae157a499c3c9471488e8e","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IBR_100kyr_100kyr_metrics.csv","sampling_density_metrics","IBR","100","csv","10584","02f4ce666dd68fb492cc9f506bb55a5c7e20daaaa0d354244eacaac2fde86916","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IBR_100kyr_20kyr_metrics.csv","sampling_density_metrics","IBR","100","csv","10433","2a1209debd3399a31ee7da455d06fefbfac0b8f12db29657c0303489ddba73c2","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IBR_100kyr_50kyr_metrics.csv","sampling_density_metrics","IBR","100","csv","10429","0688fc4287b02d4da4b0bca674af5debf0bce584ea014889acab954ad5d12ff3","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_1000kyr_100kyr_metrics.csv","sampling_density_metrics","IQR","1000","csv","10250","13b43dc67c1c7b61d34571ea608fd9ae9dbe43ccc8e93b99ca4b5459b7ce229b","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_1000kyr_20kyr_metrics.csv","sampling_density_metrics","IQR","1000","csv","10182","cf4ee2c1d3d7e323d1a4c2b56a0674ed27f7931740015727f71efc9b4fc0841c","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_1000kyr_50kyr_metrics.csv","sampling_density_metrics","IQR","1000","csv","10120","f4667b32c38307a5c12893052514ffc0826861687a650a5ce1d007dbb47145d6","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_100kyr_100kyr_metrics.csv","sampling_density_metrics","IQR","100","csv","10162","335348c2cf48e64d0505b0ccc9c279fa8097a42b5d93719a386b25831013ac79","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_100kyr_20kyr_metrics.csv","sampling_density_metrics","IQR","100","csv","9977","0c665c02a1fa906aacb4688c4d11d322b08ea6d941fc22f4827503b2589bb927","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_IQR_100kyr_50kyr_metrics.csv","sampling_density_metrics","IQR","100","csv","9953","356c7ecb3683524cb33e1fbca0246c6dbdc42b4e4b240ff8968cb07364e42c4e","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_1000kyr_100kyr_metrics.csv","sampling_density_metrics","TS","1000","csv","10564","10585a31d08fedd19f6b884eeac5e14beb2cd2e5f89eaa7d674249bc8200ca8a","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_1000kyr_20kyr_metrics.csv","sampling_density_metrics","TS","1000","csv","10272","48a0bdb788eaf94bee738f291cf71ab554db76572a9cc3312d5f369f063ba495","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_1000kyr_50kyr_metrics.csv","sampling_density_metrics","TS","1000","csv","10222","81c122e13e8f34ff995d7e8123de10a49f79bb774d2ce3f440307c2b5d3de30e","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_100kyr_100kyr_metrics.csv","sampling_density_metrics","TS","100","csv","10312","29bb5a7e6a47cdd3a822533e6e22aa409a7c147d2e30f0be05ae0b9ad31a5633","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_100kyr_20kyr_metrics.csv","sampling_density_metrics","TS","100","csv","10181","6d5b2c85d55a2ae75ddc0f724008b2a8e815e06aef47857ca2ab816f7d456375","Per-iteration MAE and MAPE values"
"metrics/O_RandomSubsampling_TS_100kyr_50kyr_metrics.csv","sampling_density_metrics","TS","100","csv","10148","82a67a22c82db8285fdaeb17325647195dc1d288edd9c16e8e5ad1780b57594c","Per-iteration MAE and MAPE values"
"README.md","metadata","","","md","1476","4150af802a09bfa4aecb82afd5e7acec4bff2829d296f7c993f6d1b8942f4971","Sampling-density archive guide"
"summary_curves/O_RandomSubsampling_IBR_1000kyr_summary_curves.csv","sampling_density_summary","IBR","1000","csv","1530552","8309743681ab99916c3768b376280f8abbd11a45f949785d118b19c6a83b7837","Full-data reference, ensemble mean, and empirical 95% interval"
"summary_curves/O_RandomSubsampling_IBR_100kyr_summary_curves.csv","sampling_density_summary","IBR","100","csv","1478223","3418fbe95809b12fe7a4b0f7a5995d269928890a00dfa0d7bfef5ebc4a9ab010","Full-data reference, ensemble mean, and empirical 95% interval"
"summary_curves/O_RandomSubsampling_IQR_1000kyr_summary_curves.csv","sampling_density_summary","IQR","1000","csv","1269883","123955ba425016d888d6d01b0582cb408fe4986039fb7fb9bda39f58c8d2ffea","Full-data reference, ensemble mean, and empirical 95% interval"
"summary_curves/O_RandomSubsampling_IQR_100kyr_summary_curves.csv","sampling_density_summary","IQR","100","csv","1326000","183bb4c100d606f6a8b347ed49089c55a0eee3cb3bc690c6fd75f3c8f2363f2d","Full-data reference, ensemble mean, and empirical 95% interval"
"summary_curves/O_RandomSubsampling_TS_1000kyr_summary_curves.csv","sampling_density_summary","TS","1000","csv","1467355","7dc100ddd2ae88e9869e6f7c660921ffb95a421d4e22af7693b5e542404cd597","Full-data reference, ensemble mean, and empirical 95% interval"
"summary_curves/O_RandomSubsampling_TS_100kyr_summary_curves.csv","sampling_density_summary","TS","100","csv","1469451","d1440061e004a99e91699a617ce880cc7178501f55fc2a134356aba474107a1e","Full-data reference, ensemble mean, and empirical 95% interval"
