Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
IBR,20,1,2.9087749124221204e-05,113.945531496458
IBR,20,2,3.1166142157375734e-05,118.40860307280583
IBR,20,3,2.8098511339387744e-05,95.2870299418745
IBR,20,4,2.9253074497694434e-05,132.73182913151354
IBR,20,5,2.693675783304818e-05,102.60611126819472
IBR,20,6,2.841077742887287e-05,111.57847390037222
IBR,20,7,2.8615105170174683e-05,113.28834290729588
IBR,20,8,3.1699185980569564e-05,147.92708113447293
IBR,20,9,2.8038857408489105e-05,122.24927205785119
IBR,20,10,2.7037501734860316e-05,127.43827581333119
IBR,20,11,2.9334922921037958e-05,135.798255845224
IBR,20,12,3.132090774869856e-05,113.52773900633714
IBR,20,13,3.0067823935419988e-05,117.31404902036671
IBR,20,14,3.02617803232237e-05,134.6516407048117
IBR,20,15,2.8251491388083748e-05,119.59677826462884
IBR,20,16,2.6832408673412155e-05,94.76986605916929
IBR,20,17,2.9638796707566568e-05,98.3507139314281
IBR,20,18,2.9362341701647223e-05,100.81922950952638
IBR,20,19,2.8450834914675584e-05,104.08055098546272
IBR,20,20,2.9348582242269468e-05,95.69845981046335
IBR,20,21,2.8694574527610857e-05,142.87215492052053
IBR,20,22,3.0099173208928165e-05,117.07879391000087
IBR,20,23,2.9371021099707133e-05,95.72447063379302
IBR,20,24,3.051839984709408e-05,112.88990608976832
IBR,20,25,3.227867708021393e-05,115.96287780909972
IBR,20,26,3.012475855279662e-05,119.41231457241301
IBR,20,27,2.5945385418294037e-05,101.24801933331744
IBR,20,28,2.879600567767682e-05,154.12401525364916
IBR,20,29,3.129528720992483e-05,110.54279370069902
IBR,20,30,2.68911383726845e-05,111.09239831729485
IBR,20,31,3.3846498669577203e-05,131.37555885937974
IBR,20,32,2.7717181121331524e-05,141.26110591330885
IBR,20,33,3.331779969889839e-05,120.86333527961438
IBR,20,34,2.6121296348647136e-05,138.29795182121583
IBR,20,35,2.5279118930711497e-05,89.07599511772905
IBR,20,36,3.24300844219655e-05,131.28292244321378
IBR,20,37,3.1754604673622406e-05,163.57656524647481
IBR,20,38,2.959862332272352e-05,150.09566146907537
IBR,20,39,2.7617884073426848e-05,146.94204234112613
IBR,20,40,2.748668168581204e-05,114.88393345944029
IBR,20,41,2.9620832296981695e-05,110.15349681354787
IBR,20,42,2.8277566840541418e-05,130.29703182527666
IBR,20,43,2.647687218183011e-05,94.82469486311199
IBR,20,44,2.837842429081799e-05,98.82840047284245
IBR,20,45,3.1454628302525805e-05,139.99515193713958
IBR,20,46,2.993087018186268e-05,122.51941621059024
IBR,20,47,2.7190164098401492e-05,121.8748654963319
IBR,20,48,3.1639401869242175e-05,107.45693628651864
IBR,20,49,2.8361779205812244e-05,126.12176568103149
IBR,20,50,2.796759039585114e-05,120.98336051872138
IBR,20,51,2.8527906749676215e-05,115.82892166271324
IBR,20,52,2.8205305532833732e-05,108.94566819437601
IBR,20,53,2.8345573204916977e-05,126.37966830900626
IBR,20,54,2.940896740091736e-05,110.52428883995805
IBR,20,55,2.8231971881018963e-05,116.64654377680826
IBR,20,56,2.658918133136669e-05,113.0913371755647
IBR,20,57,2.8128156033705483e-05,97.82436121464916
IBR,20,58,2.7094727514047843e-05,113.30466119321727
IBR,20,59,2.77280936644306e-05,135.10206413001276
IBR,20,60,3.1457164725298743e-05,132.76818812900464
IBR,20,61,2.8460026030923384e-05,155.25291078961908
IBR,20,62,3.0192621014299583e-05,103.77874680316673
IBR,20,63,2.774873285022752e-05,128.57274858203252
IBR,20,64,2.5972229907028597e-05,93.45826663385876
IBR,20,65,3.233298749634384e-05,129.90478161006723
IBR,20,66,3.111057789236057e-05,114.07912246029095
IBR,20,67,3.053604876607679e-05,117.5619955853158
IBR,20,68,3.0852293470177517e-05,152.91379189034686
IBR,20,69,3.0305146496862525e-05,139.66905799582997
IBR,20,70,2.6409314290946916e-05,110.80290086462816
IBR,20,71,2.730868075010522e-05,90.31297158277137
IBR,20,72,2.8812774806402076e-05,97.64115770145511
IBR,20,73,2.8334447630598956e-05,138.48614404846896
IBR,20,74,2.941040893418137e-05,117.66454643093557
IBR,20,75,3.013071195704771e-05,126.42146898171703
IBR,20,76,3.13285211810184e-05,132.3728532027902
IBR,20,77,3.180915912177747e-05,109.52669633536223
IBR,20,78,2.6615252319476563e-05,103.14050395303059
IBR,20,79,3.0610014946851245e-05,104.08445289207889
IBR,20,80,2.788572977452219e-05,91.70468509020185
IBR,20,81,3.053529483845612e-05,101.85437284280896
IBR,20,82,2.981207160886621e-05,119.93430908755435
IBR,20,83,2.917275432521689e-05,121.57484339750178
IBR,20,84,2.8240788370212036e-05,95.8455343216854
IBR,20,85,3.3201116830850003e-05,148.04006079733074
IBR,20,86,2.8323733743697772e-05,95.71548696239076
IBR,20,87,2.7763450638789226e-05,108.65944510505355
IBR,20,88,2.8021102649786835e-05,153.4762502896797
IBR,20,89,2.8271240909531664e-05,117.79424408695631
IBR,20,90,2.9979460293942835e-05,123.16519796825109
IBR,20,91,2.641711152942243e-05,91.59333951668674
IBR,20,92,2.9175074668384012e-05,158.17874566018696
IBR,20,93,3.15006799420085e-05,149.51779997970812
IBR,20,94,2.694665887051399e-05,103.67795709020382
IBR,20,95,2.8689469034806917e-05,119.47207614526943
IBR,20,96,2.7347715981417262e-05,100.92628867274594
IBR,20,97,2.700963127226598e-05,105.44332714368136
IBR,20,98,2.925683370190873e-05,130.20114580907702
IBR,20,99,2.8795540043345026e-05,103.04946403816555
IBR,20,100,2.8441777580665835e-05,110.65318914305892
IBR,20,101,3.0066068489316218e-05,99.67198709143629
IBR,20,102,2.725229064934644e-05,111.12826742417742
IBR,20,103,2.957856240467419e-05,131.9816752328361
IBR,20,104,2.5229958807338275e-05,106.71021314790067
IBR,20,105,2.8550572794140226e-05,119.24571754999388
IBR,20,106,3.254432095535065e-05,96.67994304117197
IBR,20,107,2.9742788461332212e-05,133.0950920099734
IBR,20,108,3.033970604216861e-05,97.53507457236901
IBR,20,109,3.0220542187613544e-05,93.27747230692253
IBR,20,110,2.789660611599741e-05,126.68529492673497
IBR,20,111,3.0002154552224556e-05,88.62782586413877
IBR,20,112,2.856748843408963e-05,98.48859184596662
IBR,20,113,2.9648340169724306e-05,107.0296757784343
IBR,20,114,3.260370492160939e-05,128.67156697234614
IBR,20,115,2.8843759409224305e-05,98.04389613511081
IBR,20,116,3.0337856427078944e-05,115.024366464714
