Method,Random_subsampling_width_kyr,Iteration,MAE,MAPE_percent
TS,100,1,0.00013160775583091958,1386203561281.7476
TS,100,2,0.00012169222586010349,2598055295155.212
TS,100,3,0.00012839130762071826,3223220148232.706
TS,100,4,0.00015454414431406217,9604159366696.607
TS,100,5,0.00014080114283366503,3704009154450.6875
TS,100,6,0.00013317103271517005,4963639891396.067
TS,100,7,0.00013271101777112307,4041350454934.359
TS,100,8,0.00013489021601641017,1121244560588.817
TS,100,9,0.0001370813340720676,11277258647300.047
TS,100,10,0.0001330310509396614,1410275438589.9275
TS,100,11,0.00014499757447282086,2760201629255.668
TS,100,12,0.00012582933482348626,3491931467204.7305
TS,100,13,0.00012059551274777606,4741461935917.388
TS,100,14,0.0001328192759291322,2955479832010.8296
TS,100,15,0.0001318257149577805,2880882950632.8735
TS,100,16,0.00013400355420508555,3898971212664.407
TS,100,17,0.00012766081108807694,2342135705314.3706
TS,100,18,0.0001237943933563951,2116353817491.7903
TS,100,19,0.00012276954234226244,1707440374844.5002
TS,100,20,0.000145638164994382,1653157222710.277
TS,100,21,0.00012941344097088233,3676380051720.215
TS,100,22,0.000129255026875123,6864417921188.527
TS,100,23,0.00013333558320644548,877403355729.3403
TS,100,24,0.00013643967807725981,1173361409678.3372
TS,100,25,0.00013638584993158108,2520528246438.651
TS,100,26,0.00013955530396000195,3162707104977.3447
TS,100,27,0.00013497386589985893,6783966041353.549
TS,100,28,0.00013528163433199376,215.9022238827729
TS,100,29,0.00013343601578336795,5774363928611.463
TS,100,30,0.00014233667491322184,2023744015423.3513
TS,100,31,0.0001310125826264814,5568385494625.71
TS,100,32,0.00013954401791979043,3909631466846.4653
TS,100,33,0.0001385701950905377,2861339926621.018
TS,100,34,0.00013057615213608593,424939613667.9153
TS,100,35,0.00012263098442057206,2038718315155.3093
TS,100,36,0.0001373043700164843,1582935438697.3193
TS,100,37,0.00012668180771127074,255314542641.11667
TS,100,38,0.0001350591763194185,3781748476870.4233
TS,100,39,0.00013416168492365758,1129155149030.39
TS,100,40,0.00013573005130384835,5453462303840.63
TS,100,41,0.00013934027769683753,1340591886854.5642
TS,100,42,0.00013267830892934804,2064410451257.6987
TS,100,43,0.0001326385876714313,3662045723780.8022
TS,100,44,0.00011975621113643276,1183115297896.2747
TS,100,45,0.00013086835037995006,2947686336048.105
TS,100,46,0.00014848296022556428,2361966380547.112
TS,100,47,0.00013945701481239518,4560567652752.146
TS,100,48,0.00013185157999211897,2262240906937.5464
TS,100,49,0.0001328748131378831,3935719272891.0605
TS,100,50,0.00012988453850237006,6029240980093.042
TS,100,51,0.00011976720801998337,1372426874655.8464
TS,100,52,0.00013969344832028027,5744652826137.932
TS,100,53,0.00013475191909157068,409015702313.3971
TS,100,54,0.00013741590830534107,2537493926012.688
TS,100,55,0.00013031102319417171,4207279710574.067
TS,100,56,0.00013918044816342635,3161023528204.4004
TS,100,57,0.00013654266290027284,5540179773651.08
TS,100,58,0.00013734053044721874,3852656884099.1567
TS,100,59,0.00013583338013878506,4394611001166.716
TS,100,60,0.00013879720850576945,2817311358396.882
TS,100,61,0.00013959794490185667,7185532932067.32
TS,100,62,0.0001309779043963725,3788258423531.809
TS,100,63,0.00013656454611449633,1918025016964.538
TS,100,64,0.00013437685131337764,2156213098889.4768
TS,100,65,0.00013308706576711717,2017436469479.8528
TS,100,66,0.00012630252808949532,2882871716168.251
TS,100,67,0.0001379550078870394,5022809426537.89
TS,100,68,0.0001315053359714551,1865294539364.9385
TS,100,69,0.00012964785668706467,3071934870900.3145
TS,100,70,0.00013275266598981286,4316656312951.902
TS,100,71,0.0001286238201601175,1578360261073.9268
TS,100,72,0.0001326960310071501,2544987570095.8853
TS,100,73,0.0001307946630399355,5163861487576.498
TS,100,74,0.0001372080061633477,6700935104847.92
TS,100,75,0.00013046698363441454,6462779658340.189
TS,100,76,0.0001309947666724632,2914824608612.839
TS,100,77,0.0001327748648241302,4445994697427.901
TS,100,78,0.00011728827855397031,4257061050455.763
TS,100,79,0.00012348123561368532,3202604566326.524
TS,100,80,0.00013050963855441096,5170462101773.467
TS,100,81,0.00013155973550150188,2828835822920.1694
TS,100,82,0.00014348415742283335,2754419573068.5938
TS,100,83,0.0001283950959071907,2398405061091.367
TS,100,84,0.00015290287124181798,2472498081103.2163
TS,100,85,0.00013715518460986504,4315026159399.9307
TS,100,86,0.00013350821003872956,2281628365267.7676
TS,100,87,0.00014551206225748984,3267145584021.6284
TS,100,88,0.00014197329866554893,4793235408226.812
TS,100,89,0.00013238409873410605,2111947385151.5232
TS,100,90,0.00012273874786561937,3757380919209.2573
TS,100,91,0.0001334128140753618,634572722557.2465
TS,100,92,0.00013296272893959508,866391485678.0172
TS,100,93,0.0001331392087838981,4018886496543.731
TS,100,94,0.00014089409191494906,2015944583202.2122
TS,100,95,0.0001415200059889507,4855639092304.271
TS,100,96,0.00013919902275393102,2786971816122.727
TS,100,97,0.00014378514452129224,519301774505.3624
TS,100,98,0.00012503069864900783,2060737797909.4314
TS,100,99,0.00013827982521424207,1879146279361.3647
TS,100,100,0.00013318728049622696,2544899935752.5093
TS,100,101,0.00012894873507192343,5685955392041.22
TS,100,102,0.00012861374227373363,2648567210055.1904
TS,100,103,0.0001374969315240174,1708913958237.4563
TS,100,104,0.00012968308560237053,5419105373062.049
TS,100,105,0.0001323263752312661,3948418470983.6006
TS,100,106,0.0001221087440507053,1936732812414.2898
TS,100,107,0.0001332908996620237,239450356601.68878
TS,100,108,0.00014048825740326995,2350384123994.17
TS,100,109,0.00013505077680465234,1913013906992.675
TS,100,110,0.00013032279536921707,1254458000632.7515
TS,100,111,0.0001334387564595185,4761180593146.287
TS,100,112,0.00012851151501939222,4123628307904.2954
TS,100,113,0.00012585255163115856,3548449735959.3535
TS,100,114,0.00012151749560085923,7694994454014.934
TS,100,115,0.0001278998788652345,829105159828.9348
TS,100,116,0.00013076925704590264,2023629947637.947
TS,100,117,0.00012194668262245361,5098006026044.959
TS,100,118,0.0001348446538083529,6137710058856.787
TS,100,119,0.00012587951042261739,4072492297210.8423
TS,100,120,0.00012405627987775185,4041930872623.988
TS,100,121,0.0001367090294556631,1419540724041.4666
TS,100,122,0.00013547208753001214,2438315854897.7485
TS,100,123,0.00015567694767612504,5062024434120.587
TS,100,124,0.00012963049325639554,11915279765636.91
TS,100,125,0.0001446520607011312,3994151358833.3823
TS,100,126,0.00013597357908096122,3582354953232.381
TS,100,127,0.00012332668245340007,4413488635248.101
TS,100,128,0.0001393204835143184,5373693207134.219
TS,100,129,0.00012988535289617677,2640609197197.4873
TS,100,130,0.00013851566821533308,8093890096328.134
TS,100,131,0.00013069829715020096,5266442175761.533
TS,100,132,0.00012379633947084409,760968350651.5449
TS,100,133,0.00012168241573935149,4888486523475.801
TS,100,134,0.00014846771221934784,461216451497.36926
TS,100,135,0.00013828875580911113,4477910798677.56
TS,100,136,0.00013676662742365326,3067955220928.236
TS,100,137,0.00013619286133950318,5360714363226.314
TS,100,138,0.00013752969416121067,777152941730.3508
TS,100,139,0.00013980215463426388,4280995342951.5913
TS,100,140,0.00013548965818588506,5923080838028.777
TS,100,141,0.00012992262502501222,4835554490607.6455
TS,100,142,0.00013123790612583168,2413854344834.0537
TS,100,143,0.00013478284286731236,3051385316381.614
TS,100,144,0.00014750065084812006,1326687662630.0
TS,100,145,0.0001283744880962028,2735691770471.156
TS,100,146,0.00013848110632944268,3934222608940.565
TS,100,147,0.00013686219615998544,3880212308680.9824
TS,100,148,0.00014484106304684733,483777760848.0742
TS,100,149,0.00012374267897755203,1298975705117.7966
TS,100,150,0.00013515333752839973,6986886719215.508
TS,100,151,0.00013972599816932171,2010374842142.1733
TS,100,152,0.00013937663949275948,5167254701060.322
TS,100,153,0.00013171842396808526,5127563492152.638
TS,100,154,0.0001374970782909207,5683664653793.014
TS,100,155,0.00013619128361614202,1353986801103.5938
TS,100,156,0.00012935782963285634,3340587381007.518
